"","species"
"108","Methylorubrum extorquens"
"109","Moraxella catarrhalis"
"110","Moraxella nonliquefaciens"
"111","Morganella morganii"
"112","Mycobacterium avium"
"113","Mycobacterium intracellulare"
"114","Mycobacterium kansasii"
"115","Mycobacterium leprae"
"116","Mycobacterium lepromatosis"
"117","Mycobacterium malmoense"
"118","Mycobacterium marinum"
"119","Mycobacterium simiae"
"120","Mycobacterium tuberculosis"
"121","Mycobacterium xenopi"
"122","Mycobacteroides abscessus"
"123","Mycobacteroides chelonae"
"124","Mycolicibacter terrae"
"125","Mycolicibacterium fortuitum"
"126","Mycolicibacterium smegmatis"
"127","Mycoplasmoides genitalium"
"128","Mycoplasmoides pneumoniae"
"129","Mycoplasmopsis caviae"
"130","Mycoplasmopsis fermentans"
"131","Nakaseomyces glabratus"
"132","Neisseria gonorrhoeae"
"133","Neisseria meningitidis"
"134","Neorickettsia sennetsu"
"135","Nocardia asteroides"
"136","Nocardia brasiliensis"
"137","Nocardia farcinica"
"138","Nocardia nova"
"139","Nocardia otitidiscaviarum"
"140","Orientia tsutsugamushi"
"141","Paraclostridium bifermentans"
"142","Parvimonas micra"
"143","Pasteurella multocida"
"144","Photobacterium damselae"
"145","Pichia kudriavzevii"
"146","Plesiomonas shigelloides"
"147","Porphyromonas gingivalis"
"148","Prescottella equi"
"149","Prevotella bivia"
"150","Prevotella intermedia"
"151","Prevotella melaninogenica"
"152","Proteus mirabilis"
"153","Proteus penneri"
"154","Proteus vulgaris"
"155","Providencia alcalifaciens"
"156","Providencia rettgeri"
"157","Pseudomonas aeruginosa"
"158","Pseudomonas fluorescens"
"159","Pseudomonas putida"
"160","Ralstonia pickettii"
"161","Rickettsia akari"
"162","Rickettsia australis"
"163","Rickettsia canadensis"
"164","Rickettsia prowazekii"
"165","Rickettsia typhi"
"166","Rothia dentocariosa"
"167","Saccharomyces cerevisiae"
"168","Salmonella bongori"
"169","Salmonella enterica"
"170","Serratia marcescens"
"171","Shewanella algae"
"172","Shigella boydii"
"173","Shigella dysenteriae"
"174","Shigella flexneri"
"175","Staphylococcus aureus"
"176","Staphylococcus capitis"
"177","Staphylococcus epidermidis"
"178","Staphylococcus haemolyticus"
"179","Staphylococcus lugdunensis"
"180","Staphylococcus pseudintermedius"
"181","Staphylococcus saccharolyticus"
"182","Staphylococcus saprophyticus"
"183","Stenotrophomonas maltophilia"
"184","Streptobacillus moniliformis"
"185","Streptococcus agalactiae"
"186","Streptococcus anginosus"
"187","Streptococcus dysgalactiae"
"188","Streptococcus equi"
"189","Streptococcus equinus"
"190","Streptococcus gordonii"
"191","Streptococcus iniae"
"192","Streptococcus mitis"
"193","Streptococcus mutans"
"194","Streptococcus oralis"
"195","Streptococcus pneumoniae"
"196","Streptococcus pyogenes"
"197","Streptococcus sanguinis"
"198","Streptococcus sobrinus"
"199","Streptococcus suis"
"200","Talaromyces marneffei"
"201","Tannerella forsythia"
"202","Treponema denticola"
"203","Treponema pallidum"
"204","Treponema vincentii"
"205","Tropheryma whipplei"
"206","Trueperella pyogenes"
"207","Ureaplasma parvum"
"208","Ureaplasma urealyticum"
"209","Vibrio alginolyticus"
"210","Vibrio cholerae"
"211","Vibrio parahaemolyticus"
"212","Vibrio vulnificus"
"213","Yersinia enterocolitica"
"214","Yersinia pseudotuberculosis"
"215","[Candida] auris"
"216","[Haemophilus] ducreyi"
